year,sector,rank,ticker,value,signal
2025,Information Technology,4,LITE,84.2991,esg
2025,Information Technology,5,AMAT,82.6558,esg
2025,Materials,1,NEM,87.1238,esg
2025,Materials,2,CRH,85.8277,esg
2025,Materials,3,DOW,84.2025,esg
2025,Materials,4,ECL,83.9233,esg
2025,Materials,5,FCX,83.4575,esg
2025,Real Estate,1,O,84.933,esg
2025,Real Estate,2,HST,84.1946,esg
2025,Real Estate,3,DOC,82.7243,esg
2025,Real Estate,4,CPT,81.583,esg
2025,Real Estate,5,KIM,79.8022,esg
2025,Utilities,1,EIX,76.0253,esg
2025,Utilities,2,AWK,75.1945,esg
2025,Utilities,3,SRE,74.4249,esg
2025,Utilities,4,ES,74.2909,esg
2025,Utilities,5,AES,73.9736,esg
