year,ticker,sector,esg_rank,ret_rank,esg_years,ret_years,min_years,esg_mean,selected
2018,WY,Real Estate,1,14,10,2,2,83.79943500880512,False
2018,PLD,Real Estate,2,15,8,2,2,61.83464774223427,False
2018,HST,Real Estate,3,8,7,3,3,55.636434629028045,True
2018,AVB,Real Estate,4,27,4,0,0,49.48767569826326,False
2018,MAC,Real Estate,5,9,4,2,2,47.68033201629084,False
2018,PCG,Utilities,1,12,10,2,2,82.99783708847961,False
2018,DUK,Utilities,2,19,7,1,1,64.01290363352216,False
2018,PNW,Utilities,3,26,5,0,0,69.84963272717361,False
2018,WEC,Utilities,4,9,5,2,2,67.64833401113701,False
2018,D,Utilities,5,17,3,1,1,65.75569837457127,False
2019,VZ,Communication Services,1,9,10,4,4,68.80057886854621,True
2019,DIS,Communication Services,2,5,10,5,5,65.37268546932471,True
2019,T,Communication Services,3,10,10,2,2,62.015605543965805,False
2019,GOOGL,Communication Services,4,6,9,4,4,50.908259060298704,True
2019,OMC,Communication Services,5,8,7,4,4,45.12891739314438,True
2019,SBUX,Consumer Discretionary,1,14,8,1,1,82.21089064105544,False
2019,F,Consumer Discretionary,2,13,7,1,1,75.99654782526957,False
2019,CCL,Consumer Discretionary,3,49,6,0,0,76.03303871331755,False
2019,MCD,Consumer Discretionary,4,44,6,0,0,72.63767769609647,False
2019,HAS,Consumer Discretionary,5,42,5,0,0,70.93555251907428,False
2019,CPB,Consumer Staples,1,32,9,0,0,82.49556980065151,False
2019,PEP,Consumer Staples,2,28,7,0,0,78.46729888411423,False
2019,MDLZ,Consumer Staples,3,26,6,0,0,78.08095642350618,False
2019,KO,Consumer Staples,4,27,5,0,0,78.71573918282657,False
2019,WMT,Consumer Staples,5,20,5,1,1,77.14810097906306,False
2019,C,Financials,1,34,10,1,1,77.74053345327566,False
2019,STT,Financials,2,57,9,0,0,82.05747615895609,False
2019,ALL,Financials,3,28,8,1,1,75.72978646646138,False
2019,JPM,Financials,4,40,8,0,0,73.39711331697484,False
2019,WFC,Financials,5,33,6,1,1,72.79019942651385,False
2019,CVS,Health Care,1,43,10,0,0,86.31764490597693,False
2019,JNJ,Health Care,2,45,10,0,0,85.85026318203076,False
2019,BAX,Health Care,3,44,10,0,0,80.66769851923227,False
2019,A,Health Care,4,26,6,0,0,78.2398453858543,False
2019,MRK,Health Care,5,22,5,1,1,75.88170911583829,False
2019,MMM,Industrials,1,32,10,0,0,84.23774922343786,False
2019,JCI,Industrials,2,21,9,1,1,82.73446182215163,False
2019,WM,Industrials,3,40,6,0,0,73.92687355006223,False
2019,UPS,Industrials,4,50,5,0,0,68.56613531536016,False
2019,CMI,Industrials,5,3,4,3,3,66.33124606578522,True
2019,MSFT,Information Technology,1,33,10,0,0,89.81510208295681,False
2019,CSCO,Information Technology,2,44,10,0,0,83.74626424876803,False
2019,INTC,Information Technology,3,42,9,0,0,89.25338553144182,False
2019,TXN,Information Technology,4,31,9,0,0,85.47595932996981,False
2019,HPQ,Information Technology,5,24,4,1,1,75.40207717899649,False
2019,FCX,Materials,1,4,10,3,3,82.69504243118061,True
2019,NEM,Materials,2,20,10,1,1,81.82238314806322,False
2019,APD,Materials,3,15,9,2,2,73.52137204750312,False
2019,LIN,Materials,4,16,5,2,2,70.05731491043989,False
2019,IFF,Materials,5,13,5,2,2,58.81546151859625,False
2019,WY,Real Estate,1,21,10,1,1,83.85132939668512,False
2019,CBRE,Real Estate,2,2,10,4,4,78.59719384546626,True
2019,PLD,Real Estate,3,20,8,1,1,66.77668198854903,False
2019,HST,Real Estate,4,7,8,3,3,60.247143029344045,True
2019,AVB,Real Estate,5,29,4,0,0,54.71284374052148,False
2019,PCG,Utilities,1,25,10,1,1,85.06329240694016,False
2019,DUK,Utilities,2,17,8,1,1,69.61336804308911,False
2019,PNW,Utilities,3,26,5,0,0,70.66669181476553,False
2019,WEC,Utilities,4,12,4,1,1,67.39485912009063,False
2019,NRG,Utilities,5,7,4,3,3,57.88548450128883,True
2020,VZ,Communication Services,1,10,10,3,3,68.59190734868437,True
2020,DIS,Communication Services,2,6,10,5,5,65.18038169068807,True
2020,T,Communication Services,3,8,10,4,4,63.37809241226448,True
2020,GOOGL,Communication Services,4,9,9,3,3,50.77540753264389,True
2020,OMC,Communication Services,5,11,6,1,1,46.15664471166908,False
2020,SBUX,Consumer Discretionary,1,19,7,1,1,79.3110775062431,False
2020,F,Consumer Discretionary,2,53,7,0,0,76.57183342086833,False
2020,CCL,Consumer Discretionary,3,48,6,0,0,76.69045390953971,False
2020,HAS,Consumer Discretionary,4,36,6,0,0,74.06992104522536,False
2020,MCD,Consumer Discretionary,5,41,5,0,0,72.86954018611215,False
2020,CPB,Consumer Staples,1,30,10,0,0,84.95224916274559,False
2020,PEP,Consumer Staples,2,26,7,0,0,79.45152289128593,False
2020,TGT,Consumer Staples,3,18,6,1,1,78.00964785173174,False
2020,CL,Consumer Staples,4,32,5,0,0,78.4174763478268,False
2020,MDLZ,Consumer Staples,5,23,5,0,0,77.93492643387182,False
2020,C,Financials,1,27,10,1,1,79.25446461118258,False
2020,STT,Financials,2,56,9,0,0,83.104695251914,False
2020,ALL,Financials,3,20,9,1,1,78.61385591832806,False
2020,JPM,Financials,4,39,8,0,0,73.90274176413575,False
2020,WFC,Financials,5,31,5,1,1,73.54710767019746,False
2020,JNJ,Health Care,1,46,10,0,0,87.3767498502609,False
2020,BAX,Health Care,2,40,10,0,0,82.4765059599284,False
2020,CVS,Health Care,3,45,9,0,0,85.26188569263681,False
2020,A,Health Care,4,35,6,0,0,79.58781306263029,False
2020,MRK,Health Care,5,23,6,1,1,77.98577250834082,False
2020,MMM,Industrials,1,48,10,0,0,85.86861936064038,False
2020,JCI,Industrials,2,44,9,0,0,81.93080541464471,False
2020,WM,Industrials,3,38,7,0,0,76.44374491025069,False
2020,UPS,Industrials,4,50,4,0,0,69.74764649881322,False
2020,CMI,Industrials,5,9,4,2,2,69.51150224416847,False
2020,MSFT,Information Technology,1,36,10,0,0,90.67975860573183,False
2020,INTC,Information Technology,2,44,10,0,0,90.59601421824425,False
2020,CSCO,Information Technology,3,48,10,0,0,84.55833053050316,False
2020,TXN,Information Technology,4,37,8,0,0,85.57964177077795,False
2020,HPQ,Information Technology,5,29,3,1,1,74.67563539615335,False
2020,FCX,Materials,1,13,10,2,2,83.26818498467317,False
2020,NEM,Materials,2,21,10,1,1,82.712465793325,False
2020,APD,Materials,3,9,8,3,3,75.77767099224934,True
2020,LIN,Materials,4,12,6,2,2,72.61891923248922,False
2020,IFF,Materials,5,16,6,1,1,64.22309244234808,False
